pilot,avg_speed,best_lap,grid,points,result,time,
ham,202.469,96.228,5,15,3,5863.259,
rus,202.313,96.302,9,12,4,5864.795,
ver,204.14,95.44,2,0,19,nan,
per,202.762,96.089,4,0,18,nan,
lec,206.018,94.57,1,26,1,5853.584,
sai,203.501,95.74,3,18,2,5859.182,
gas,200.189,97.324,10,0,20,nan,
tsu,200.642,97.104,16,4,8,5873.97,
ric,200.318,97.261,18,0,14,5908.559,
nor,200.882,96.988,13,0,15,5909.919,
oco,200.63,97.11,11,6,7,5873.007,
alo,201.412,96.733,8,2,9,5875.974,
vet,200.555,97.146,19,0,12,5899.457,
str,198.3,98.251,20,0,16,5915.379,
lat,200.125,97.355,14,0,13,5907.516,
alb,201.691,96.599,6,8,6,5869.703,
bot,201.512,96.685,15,1,10,5876.648,
zho,201.641,96.623,7,10,5,5868.338,
mag,nan,nan,nan,0,nan,nan,
sch,nan,nan,nan,0,nan,nan,
ham,239.001,92.997,15,1,10,5133.241,
rus,239.454,92.821,6,10,5,5092.025,
ver,242.191,91.772,4,25,1,5059.293,
per,241.481,92.042,1,12,4,5070.093,
lec,242.556,91.634,2,19,2,5059.842,
sai,241.841,91.905,3,15,3,5067.39,
gas,237.796,93.468,9,4,8,5122.239,
tsu,nan,nan,19,0,19,nan,
ric,235.232,94.487,14,0,17,nan,
nor,239.629,92.753,11,6,7,5115.417,
oco,238.729,93.103,5,8,6,5115.31,
alo,236.876,93.831,7,0,16,nan,
vet,235.334,94.446,13,0,13,nan,
str,227.892,97.53,18,0,18,nan,
lat,235.528,94.368,16,0,14,nan,
alb,236.503,93.979,8,0,15,nan,
bot,236.642,93.924,12,0,11,5141.508,
zho,239.562,92.779,10,2,9,5123.601,
mag,nan,nan,nan,0,nan,nan,
sch,nan,nan,nan,0,nan,nan,
ham,232.039,81.886,5,12,4,5295.091,
rus,233.152,81.495,6,15,3,5292.141,
ver,232.633,81.67699999999999,2,0,18,nan,
per,234.305,81.094,3,18,2,5287.072,
lec,236.74,80.26,1,26,1,5266.548,
sai,nan,nan,9,0,20,nan,
gas,229.669,82.731,11,2,9,5342.769,
tsu,227.985,83.342,13,0,15,nan,
ric,230.449,82.451,7,8,6,5320.285,
nor,231.018,82.248,4,10,5,5319.851,
oco,230.399,82.469,8,6,7,5328.231,
alo,235.024,80.846,10,0,17,nan,
vet,223.042,85.189,17,0,19,nan,
str,227.304,83.592,19,0,12,5355.146,
lat,226.518,83.882,18,0,16,nan,
alb,230.064,82.589,20,1,10,5345.93,
bot,232.707,81.651,12,4,8,5334.987,
zho,230.198,82.541,14,0,11,5348.243,
mag,228.729,83.071,16.0,0,14.0,nan,
sch,nan,nan,nan,0,nan,nan,
ham,217.054,81.419,14,0,13,nan,
rus,218.280,80.962,11,12,4,5570.492,
ver,225.281,78.446,1,26,1,5527.986,
